key,name,formulation,domain,family,language
t_word,total_number_of_words,foundation,surface,wordsent,general
t_stopword,total_number_of_stop_words,foundation,surface,wordsent,general
t_punct,total_number_of_puntuations,foundation,syntax,wordsent,general
t_syll,total_number_of_syllables,foundation,surface,wordsent,en
t_syll2,total_number_of_words_more_than_two_syllables,foundation,surface,wordsent,en
t_syll3,total_number_of_words_more_than_three_syllables,foundation,surface,wordsent,en
t_uword,total_number_of_unique_words,foundation,surface,wordsent,general
t_sent,total_number_of_sentences,foundation,surface,wordsent,general
t_char,total_number_of_characters,foundation,surface,wordsent,general
a_word_ps,average_number_of_words_per_sentence,derivation,surface,avgwordsent,general
a_char_ps,average_number_of_characters_per_sentence,derivation,surface,avgwordsent,general
a_char_pw,average_number_of_characters_per_word,derivation,surface,avgwordsent,general
a_syll_ps,average_number_of_syllables_per_sentence,derivation,surface,avgwordsent,en
a_syll_pw,average_number_of_syllables_per_word,derivation,surface,avgwordsent,en
a_stopword_ps,average_number_of_stop_words_per_sentence,derivation,surface,avgwordsent,en
a_stopword_pw,average_number_of_stop_words_per_word,derivation,surface,avgwordsent,en
t_kup,total_kuperman_age_of_acquistion_of_words,foundation,lexico-semantics,worddiff,en
t_bry,total_brysbaert_age_of_acquistion_of_words,foundation,lexico-semantics,worddiff,en
t_subtlex_us_zipf,total_subtlex_us_zipf_of_words,foundation,lexico-semantics,worddiff,en
a_kup_pw,average_kuperman_age_of_acquistion_of_words_per_word,derivation,lexico-semantics,avgworddiff,en
a_bry_pw,average_brysbaert_age_of_acquistion_of_words_per_word,derivation,lexico-semantics,avgworddiff,en
a_kup_ps,average_kuperman_age_of_acquistion_of_words_per_sentence,derivation,lexico-semantics,avgworddiff,en
a_bry_ps,average_brysbaert_age_of_acquistion_of_words_per_sentence,derivation,lexico-semantics,avgworddiff,en
a_subtlex_us_zipf_pw,average_subtlex_us_zipf_of_words_per_word,derivation,lexico-semantics,avgworddiff,en
a_subtlex_us_zipf_ps,average_subtlex_us_zipf_of_words_per_sentence,derivation,lexico-semantics,avgworddiff,en
t_n_ent,total_number_of_named_entities,foundation,discourse,entity,general
t_n_ent_person,total_number_of_named_entities_person,foundation,discourse,entity,en
t_n_ent_norp,total_number_of_named_entities_norp,foundation,discourse,entity,en
t_n_ent_fac,total_number_of_named_entities_fac,foundation,discourse,entity,en
t_n_ent_org,total_number_of_named_entities_org,foundation,discourse,entity,en
