WORD,MEANING,AoAtestbased,AoArating,LWV,CDI,Morr,Floc
a,"one, any",2,2.0,4,26,#N/A,#N/A
A,musical note,8,2.0,8,26,#N/A,#N/A
a bon marche,cheap,14,,16,#N/A,#N/A,#N/A
a cappella,without accompaniment,13,,13,#N/A,#N/A,#N/A
a deux,for two people,12,,12,#N/A,#N/A,#N/A
a fortiori,all the more,14,,16,#N/A,#N/A,#N/A
a haute voix,aloud,14,,16,#N/A,#N/A,#N/A
a la,according to,14,,16,#N/A,#N/A,#N/A
a la carte,not the dinner,12,,12,#N/A,#N/A,#N/A
a la mode,with ice cream,8,,8,#N/A,#N/A,#N/A
a la mode,in style,13,,13,#N/A,#N/A,#N/A
a posteriori,based on observed facts,13,,13,#N/A,#N/A,#N/A
a posteriori,from effect to cause,14,,16,#N/A,#N/A,#N/A
a priori,"based on theory, not observation",14,,16,#N/A,#N/A,#N/A
a votre sante,to your health,14,,16,#N/A,#N/A,#N/A
A.B.,bachelor of arts,13,,13,#N/A,#N/A,#N/A
A.D.,after Christ,6,,6,#N/A,#N/A,#N/A
A.M.,between midnight and noon,2,,4,#N/A,#N/A,#N/A
A.O.K.,in top condition,12,,12,#N/A,#N/A,#N/A
aardvark,animal,14,9.9,16,#N/A,#N/A,#N/A
ab,"away, off, from",12,,12,#N/A,#N/A,#N/A
ab initio,from the beginning,12,,12,#N/A,#N/A,#N/A
ab ovo,originally,12,,12,#N/A,#N/A,#N/A
abaca,hemp plant,14,,16,#N/A,#N/A,#N/A
aback,backwards,12,,12,#N/A,#N/A,#N/A
abacus,counting frame,10,8.7,10,#N/A,#N/A,#N/A
abaft,toward the rear,14,,16,#N/A,#N/A,#N/A
abalone,large marine snail,14,12.2,16,#N/A,#N/A,#N/A
abandon,give up,6,8.3,6,#N/A,#N/A,6
abandon,freedom from self-control,8,8.3,8,#N/A,#N/A,6
abandoned,deserted,2,8.3,4,#N/A,#N/A,#N/A
abase,degrade,14,14.6,16,#N/A,#N/A,#N/A
abasement,humiliation,14,12.8,16,#N/A,#N/A,#N/A
abash,embarrass,14,,16,#N/A,#N/A,#N/A
abashed,ashamed,12,,12,#N/A,#N/A,#N/A
abate,diminish,12,13.0,12,#N/A,#N/A,7
abated,grew less,14,13.0,16,#N/A,#N/A,#N/A
abatement,decrease,14,13.8,16,#N/A,#N/A,#N/A
abattoir,slaughterhouse,14,15.2,16,#N/A,#N/A,#N/A
abba,father,14,,16,#N/A,#N/A,#N/A
abbacy,friar's office,12,14.5,12,#N/A,#N/A,#N/A
abbe,religious person,14,,16,#N/A,#N/A,#N/A
abbess,head of a convent,14,15.4,16,#N/A,#N/A,#N/A
abbey,home of nuns or priests,8,11.3,8,#N/A,#N/A,#N/A
abbey,group of monks,13,11.3,13,#N/A,#N/A,#N/A
abbot,high church officer,10,12.1,10,#N/A,#N/A,#N/A
abbreviate,shorten,4,10.0,4,#N/A,#N/A,#N/A
abbreviation,short form of a word,4,9.1,4,#N/A,#N/A,#N/A
abbreviation,shortened form,4,9.1,4,#N/A,#N/A,#N/A
ABC's,the alphabet,2,,4,#N/A,#N/A,#N/A
abdicate,forsake the  throne,10,12.6,10,#N/A,#N/A,#N/A
abdicate,give up rights,12,12.6,12,#N/A,#N/A,#N/A
abdication,giving up the throne,12,14.9,12,#N/A,#N/A,#N/A
abdication,giving up a right,14,14.9,16,#N/A,#N/A,#N/A
abdomen,where stomach is,6,9.8,6,#N/A,#N/A,#N/A
abdominal,about the stomach,6,10.2,6,#N/A,#N/A,#N/A
abduct,kidnap,10,10.5,10,#N/A,#N/A,#N/A
abduction,kidnapping,10,11.9,10,#N/A,#N/A,#N/A
abduction,pulling from normal position,13,11.9,13,#N/A,#N/A,#N/A
abeam,toward's ship's side,14,13.4,16,#N/A,#N/A,#N/A
abecedarian,learner of ABC's,14,,16,#N/A,#N/A,#N/A
abed,at rest,12,,12,#N/A,#N/A,#N/A
abegging,neglected,13,,13,#N/A,#N/A,#N/A
aberrant,departing from the normal,14,13.3,16,#N/A,#N/A,#N/A
aberration,not normal,14,12.7,16,#N/A,#N/A,#N/A
abert,western squirrel,14,,16,#N/A,#N/A,#N/A
abet,assist,13,12.2,13,#N/A,#N/A,8
abettor,accomplice,14,15.6,16,#N/A,#N/A,#N/A
abeyance,not in use,14,15.0,16,#N/A,#N/A,#N/A
abhor,"be disgusted with, detest",10,13.8,10,#N/A,#N/A,#N/A
abhorrent,hateful,12,12.1,12,#N/A,#N/A,#N/A
abide,live,8,10.0,8,#N/A,#N/A,#N/A
abide,put up with,8,10.0,8,#N/A,#N/A,#N/A
abiding,lasting,12,10.3,12,#N/A,#N/A,#N/A
ability,skill,2,8.9,4,#N/A,#N/A,3
abiogenesis,life from lifeless matter,13,,13,#N/A,#N/A,#N/A
abiotic,lifeless,14,,16,#N/A,#N/A,#N/A
abject,miserable,14,14.0,16,#N/A,#N/A,#N/A
abjure,renounce,13,14.6,13,#N/A,#N/A,#N/A
ablation,protects from heat,14,13.3,16,#N/A,#N/A,#N/A
ablative,grammar case,13,,13,#N/A,#N/A,#N/A
ablaut,"sing, sang, sung",14,,16,#N/A,#N/A,#N/A
ablaze,on fire,2,10.8,4,#N/A,#N/A,#N/A
able,can do it,2,6.6,4,#N/A,#N/A,#N/A
able,clever,10,6.6,10,#N/A,#N/A,#N/A
able-bodied,health,6,,6,#N/A,#N/A,#N/A
abloom,blossoming,6,,6,#N/A,#N/A,#N/A
ablution,cleansing,14,13.6,16,#N/A,#N/A,#N/A
ably,skillfully,8,,8,#N/A,#N/A,#N/A
abnegation,self denial,14,,16,#N/A,#N/A,#N/A
abnormal,unnatural,6,10.1,6,#N/A,#N/A,7
aboard,on a ship,4,7.8,4,#N/A,#N/A,#N/A
abode,lived,12,10.0,12,#N/A,#N/A,7
abode,place to live,13,10.0,13,#N/A,#N/A,7
aboil,boiling,13,,13,#N/A,#N/A,#N/A
abolish,get rid of,6,10.4,6,#N/A,#N/A,5
abolition,doing away with,8,13.3,8,#N/A,#N/A,#N/A
abolitionist,against slavery,8,12.6,8,#N/A,#N/A,#N/A
abomasum,cow's fourth stomach,14,,16,#N/A,#N/A,#N/A
A-bomb,an atom bomb,4,,4,#N/A,#N/A,#N/A
abominable,hateful,12,8.9,12,#N/A,#N/A,#N/A
abominate,detest,13,15.0,13,#N/A,#N/A,#N/A
abomination,something hateful,12,11.2,12,#N/A,#N/A,#N/A
