Word,OccurTotal,OccurNum,Freq_pm,Rating.Mean,Rating.SD,Dunno
a,22,22,20415.27,2.89,1.21,1.00
aardvark,18,18,0.41,9.89,3.66,1.00
abacus,20,13,0.24,8.69,3.77,0.65
abalone,18,13,0.51,12.23,3.54,0.72
abandon,19,19,8.10,8.32,2.75,1.00
abandoner,19,18,0.02,11.89,3.36,0.95
abandonment,22,22,0.96,10.27,2.57,1.00
abase,19,14,0.06,14.57,4.29,0.74
abasement,19,12,#N/A,15.13,5.37,0.63
abate,19,18,0.10,14.44,3.57,0.95
abatement,21,17,0.06,15.12,2.78,0.81
abattoir,19,6,0.14,15.17,2.71,0.32
abbacy,21,2,#N/A,14.50,0.71,0.10
abbess,19,7,0.04,15.43,2.37,0.37
abbey,21,18,3.18,13.06,3.59,0.86
abbot,20,15,0.84,12.10,4.70,0.75
abbreviate,19,19,0.02,9.95,2.07,1.00
abbreviated,22,22,0.31,10.50,1.79,1.00
abbreviation,18,18,0.24,9.11,2.37,1.00
abdicate,18,15,0.18,12.60,3.18,0.83
abdication,18,16,0.12,14.94,3.59,0.89
abdomen,18,18,3.35,8.61,2.25,1.00
abdominal,18,17,3.41,10.24,3.60,0.94
abduct,19,19,0.71,11.26,4.03,1.00
abduction,18,18,3.63,11.94,3.99,1.00
abductor,18,18,0.35,11.11,3.56,1.00
abeam,19,10,0.14,13.40,2.88,0.53
aberrant,19,13,0.29,13.31,3.50,0.68
aberration,19,13,0.55,12.69,3.33,0.68
abet,18,13,0.10,12.15,3.31,0.72
abettor,19,11,0.02,15.55,2.98,0.58
abeyance,20,7,0.04,15.00,2.58,0.35
abhor,20,17,0.24,13.76,3.27,0.85
abhorrent,18,14,0.18,12.14,4.24,0.78
abide,18,18,2.71,9.50,3.11,1.00
abiding,20,20,0.49,10.30,4.01,1.00
ability,19,19,19.22,8.84,3.22,1.00
abject,18,16,0.39,14.00,4.41,0.89
abjuration,21,8,#N/A,17.12,2.59,0.38
abjure,19,10,0.02,14.60,3.66,0.53
ablation,18,7,0.02,13.29,3.45,0.39
ablaze,19,18,0.41,10.83,2.68,0.95
able,19,19,159.90,7.79,3.31,1.00
ablution,19,11,0.06,13.64,3.41,0.58
abnormal,19,19,2.90,10.05,2.61,1.00
abnormality,19,19,0.51,11.58,3.34,1.00
aboard,20,20,26.63,8.66,1.33,1.00
abode,18,17,0.65,12.06,2.93,0.94
abolish,20,19,0.47,10.42,2.57,0.95
abolition,18,18,0.20,13.28,3.41,1.00
abolitionism,19,18,0.02,11.78,3.17,0.95
abolitionist,18,15,0.22,12.60,3.50,0.83
abominable,18,18,0.63,8.94,3.04,1.00
abominate,19,17,0.06,15.00,4.24,0.89
abomination,18,18,1.14,11.17,3.45,1.00
aboriginal,19,16,0.18,14.75,4.25,0.84
aborigine,18,16,0.08,12.56,4.18,0.89
aborning,17,4,0.02,13.25,3.77,0.24
abort,19,19,4.61,12.21,3.33,1.00
abortion,19,19,7.24,13.21,3.41,1.00
abortionist,20,19,0.08,15.00,3.28,0.95
abortive,18,14,0.02,13.93,3.41,0.78
abound,20,20,0.35,11.65,3.12,1.00
about,22,22,3631.49,5.07,1.75,1.00
above,21,21,48.88,4.55,2.00,1.00
aboveboard,20,17,0.27,13.00,3.43,0.85
aboveground,20,20,0.14,8.05,2.37,1.00
abovementioned,19,17,0.02,14.24,2.73,0.89
abracadabra,19,19,1.04,6.89,3.43,1.00
abrade,18,8,0.02,14.00,4.54,0.44
abrasion,20,19,0.35,11.95,3.72,0.95
abrasive,18,18,0.45,12.22,4.02,1.00
abrasiveness,18,18,0.04,12.06,3.89,1.00
abreaction,18,10,0.02,15.80,4.34,0.56
abreast,19,17,0.51,13.06,2.77,0.89
abridge,19,17,0.02,14.35,3.02,0.89
abridged,18,16,0.18,12.56,2.66,0.89
abridgement,20,17,0.02,12.32,3.54,0.85
abroad,22,22,4.90,10.15,3.20,1.00
abrogate,19,9,0.02,15.22,2.99,0.47
abrupt,22,22,1.14,10.95,3.47,1.00
abruption,18,17,0.12,11.82,2.72,0.94
abruptness,18,18,0.08,12.39,3.09,1.00
abscess,20,18,0.49,13.11,3.94,0.90
abscond,19,14,0.10,13.36,1.86,0.74
absconder,19,13,0.02,16.62,3.75,0.68
absence,20,20,6.31,7.70,2.20,1.00
absent,18,18,2.57,6.50,2.18,1.00
absentee,18,17,0.35,11.00,3.61,0.94
absenteeism,18,14,0.10,13.43,3.61,0.78
absentminded,19,19,0.06,10.84,3.11,1.00
absentmindedness,18,18,0.02,9.61,3.09,1.00
absinthe,19,17,0.55,16.29,3.26,0.89
absolute,19,19,11.31,8.53,3.44,1.00
absolutely,21,21,113.12,7.08,2.58,1.00
absoluteness,20,19,0.02,12.68,3.65,0.95
absolution,18,17,0.94,11.71,3.14,0.94
absolve,20,20,0.57,12.90,3.02,1.00
absolver,18,15,0.08,13.60,5.05,0.83
absorb,18,18,1.98,8.83,2.33,1.00
absorbent,19,19,0.16,10.32,2.75,1.00
absorber,18,18,0.06,10.33,3.27,1.00
absorption,19,18,0.35,10.94,2.60,0.95
abstain,19,19,0.51,12.95,3.27,1.00
abstention,21,16,0.12,15.19,3.82,0.76
abstinence,19,19,0.88,12.74,2.66,1.00
abstract,19,19,2.18,11.47,3.58,1.00
abstraction,18,17,0.29,13.65,3.52,0.94
abstractionist,19,18,0.02,14.72,3.82,0.95
abstruse,20,10,0.06,14.60,3.34,0.50
absurd,1917,1901,9.71,10.50,3.10,0.99
absurdist,21,12,0.02,13.00,3.22,0.57
absurdity,19,19,0.63,13.21,2.39,1.00
abundance,20,20,0.88,10.45,2.16,1.00
abundant,19,19,0.57,12.84,2.57,1.00
abuse,18,18,10.25,8.61,2.73,1.00
abuser,18,18,0.31,9.94,3.75,1.00
abusive,19,19,1.63,9.58,2.48,1.00
abusiveness,19,19,0.02,10.47,2.34,1.00
abut,21,9,0.12,13.11,1.90,0.43
abutment,18,9,0.12,15.33,2.45,0.50
abuzz,18,14,0.04,13.00,2.77,0.78
abysm,21,4,#N/A,15.25,2.87,0.19
abysmal,19,18,0.41,13.78,3.47,0.95
abyss,20,20,1.76,11.00,2.43,1.00
abyssal,19,11,0.02,17.27,4.36,0.58
ac,19,8,2.16,10.75,5.12,0.42
acacia,21,12,0.16,14.25,6.20,0.57
academe,20,15,0.04,13.27,3.06,0.75
academia,20,19,0.24,13.74,2.77,0.95
academic,19,19,4.67,9.74,2.98,1.00
academician,19,14,0.02,15.21,2.69,0.74
academicism,18,10,#N/A,15.00,3.71,0.56
academy,19,19,12.41,9.05,2.55,1.00
acanthus,18,6,0.02,15.17,3.76,0.33
accede,18,13,0.14,14.31,1.84,0.72
accelerando,20,4,#N/A,14.50,3.51,0.20
accelerant,20,19,0.55,12.84,4.60,0.95
accelerate,19,19,1.27,10.74,3.43,1.00
accelerated,19,19,0.96,10.11,3.60,1.00
acceleration,19,19,0.86,9.84,2.79,1.00
accelerator,22,22,1.35,10.27,2.80,1.00
accent,21,20,12.18,8.60,3.00,0.95
accentuate,20,17,0.35,13.24,2.25,0.85
accept,19,19,52.78,6.74,2.08,1.00
acceptable,19,19,5.27,9.84,2.67,1.00
acceptance,18,18,3.16,8.56,2.04,1.00
acceptant,19,18,0.02,11.89,4.04,0.95
access,20,20,31.67,9.10,2.36,1.00
accessibility,19,19,0.04,11.05,3.58,1.00
accessible,18,18,1.10,9.94,3.26,1.00
accession,20,16,0.12,12.25,3.09,0.80
accessorize,18,18,0.35,11.39,4.46,1.00
accessory,20,20,2.88,11.15,3.65,1.00
accident,20,20,81.29,5.30,2.18,1.00
accidental,20,20,3.00,6.75,3.11,1.00
acclaim,18,18,0.43,12.11,3.76,1.00
acclamation,18,18,0.02,14.00,2.70,1.00
acclimate,20,17,0.16,14.24,2.75,0.85
acclimatization,20,16,0.02,16.12,2.39,0.80
acclimatize,20,16,0.02,14.00,3.63,0.80
accolade,20,14,0.02,12.43,4.35,0.70
accommodate,20,20,2.14,9.90,2.25,1.00
accommodation,19,19,0.94,9.58,3.15,1.00
accommodative,22,22,0.02,15.18,4.83,1.00
accompaniment,18,17,0.29,11.18,3.32,0.94
accompanist,18,18,0.20,12.78,2.80,1.00
accompany,20,20,4.75,10.75,2.65,1.00
accomplice,18,18,4.24,9.78,2.82,1.00
accomplish,19,19,5.84,7.84,2.75,1.00
accomplishment,18,18,1.88,9.00,2.77,1.00
accord,18,17,1.63,9.65,2.74,0.94
accordance,22,22,1.59,11.75,3.48,1.00
according,20,20,41.86,8.45,2.00,1.00
accordion,18,18,1.31,8.61,2.97,1.00
accost,22,19,0.06,13.37,4.45,0.86
account,19,19,44.71,8.26,2.84,1.00
